Title,Content
Code of Conduct,"In the interest of fostering an open and welcoming community, we as contributors and maintainers need to ensure participation in our project and our sister projects is a harassment-free and positive experience for everyone. It is vital that all interaction is conducted in a manner conveying respect, open-mindedness and gratitude. Please consult the [latest Code of Conduct](https://github.com/kivy/kivy/blob/master/CODE_OF_CONDUCT.md)."
Contributors,"This project exists thanks to [all the people who contribute](https://github.com/kivy/kivy/graphs/contributors). [[Become a contributor](CONTRIBUTING.md)]. <img src=""https://contrib.nn.ci/api?repo=kivy/kivy&pages=5&no_bot=true&radius=22&cols=18"">"
Backers,"Thank you to [all of our backers](https://opencollective.com/kivy)! 🙏 [[Become a backer](https://opencollective.com/kivy#backer)] <img src=""https://opencollective.com/kivy/backers.svg?width=890&avatarHeight=44&button=false"">"
Sponsors,"Special thanks to [all of our sponsors, past and present](https://opencollective.com/kivy). Support this project by [[becoming a sponsor](https://opencollective.com/kivy#sponsor)]. Here are our top current sponsors. Please click through to see their websites, and support them as they support us. <!--- See https://github.com/orgs/kivy/discussions/15 for explanation of this code. --> <a href=""https://opencollective.com/kivy/sponsor/0/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/0/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/1/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/1/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/2/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/2/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/3/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/3/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/4/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/4/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/5/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/5/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/6/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/6/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/7/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/7/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/8/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/8/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/9/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/9/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/10/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/10/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/11/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/11/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/12/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/12/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/13/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/13/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/14/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/14/avatar.svg""></a> <a href=""https://opencollective.com/kivy/sponsor/15/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/15/avatar.svg""></a>"
